시도,"더불어민주당
이재명","국민의힘
윤석열","정의당
심상정","기본소득당
오준호","국가혁명당 
허경영","노동당
이백윤","새누리당
옥은호","신자유민주연합
김경재","우리공화당
조원진","진보당
김재연","통일한국당
이경희","한류연합당
김민찬"
서울특별시,500,580,51,3,9,0,0,0,0,0,0,0
서울특별시,589,644,47,0,18,0,2,0,0,1,0,0
서울특별시,660,687,33,0,13,0,0,0,2,1,0,0
서울특별시,518,572,37,0,8,1,0,0,1,0,1,0
서울특별시,3146,2129,145,7,25,0,2,1,4,6,1,4
서울특별시,515,629,46,1,9,0,0,0,0,4,0,3
서울특별시,703,809,66,2,15,0,0,0,1,2,0,0
서울특별시,783,817,77,5,12,0,0,0,5,1,0,3
서울특별시,464,517,21,0,9,1,0,2,0,2,1,0
서울특별시,621,718,41,1,9,0,1,2,4,2,1,0
서울특별시,2120,1481,90,3,24,0,0,1,1,3,1,1
서울특별시,573,635,45,3,15,0,0,2,0,2,0,0
서울특별시,532,584,34,0,16,0,1,0,3,0,0,1
서울특별시,493,557,37,2,11,0,0,0,1,1,0,0
서울특별시,535,574,36,1,14,0,0,1,1,0,2,1
서울특별시,429,540,24,1,12,0,0,0,0,0,0,1
서울특별시,4430,3175,167,2,37,1,1,0,4,8,0,0
서울특별시,610,738,40,1,14,0,0,1,2,1,0,1
서울특별시,915,847,48,1,13,0,0,1,4,1,0,1
서울특별시,531,618,48,1,17,0,1,0,0,3,0,1
서울특별시,572,577,48,0,12,0,1,1,2,1,0,1
서울특별시,662,709,52,0,16,0,0,0,1,0,0,1
서울특별시,547,676,27,2,17,0,0,0,3,0,0,1
서울특별시,604,721,44,1,13,1,0,0,8,1,2,1
서울특별시,1938,1408,117,3,13,2,0,0,0,1,0,1
서울특별시,382,550,35,2,5,1,0,2,1,0,0,1
서울특별시,573,581,46,0,12,1,0,0,8,2,1,1
서울특별시,708,852,71,3,10,0,0,0,1,1,0,1
서울특별시,3703,2718,196,1,32,2,3,0,1,4,2,2
