지역,선거인수,투표수,한나라당 이회창,새정치국민회의 김대중,국민신당 이인제,건설국민승리21 권영길,공화당 허경영,바른정치연합 김한식,통일한국당 신정일,계,무효,기권
경기 부천시소사구,141214,114185,39644.0,49484.0,21754.0,1312.0,124.0,190.0,115.0,112623,1562,27029
경기 고양시일산구,249248,205429,91210.0,78408.0,31083.0,2159.0,188.0,239.0,164.0,203451,1978,43819
경기 수원시팔달구,156084,125457,47962.0,44680.0,29535.0,1145.0,191.0,173.0,143.0,123829,1628,30627
경기 성남시수정구,182334,145865,39818.0,70909.0,30914.0,1362.0,188.0,265.0,151.0,143607,2258,36469
경기 의정부시,207741,166236,63136.0,63019.0,35619.0,1518.0,257.0,218.0,224.0,163991,2245,41505
경기 안양시동안구갑,118457,97270,37145.0,40781.0,16931.0,985.0,92.0,176.0,75.0,96185,1085,21187
경기 부천시원미구갑,116776,92957,28239.0,42516.0,19342.0,988.0,96.0,151.0,94.0,91426,1531,23819
경기 광명시갑,116994,95020,30068.0,44831.0,17697.0,865.0,95.0,153.0,84.0,93793,1227,21974
경기 광명시을,115908,96367,35138.0,42570.0,16031.0,1208.0,96.0,137.0,117.0,95297,1070,19541
경기 평택시갑,112009,89333,27470.0,33378.0,25211.0,1481.0,173.0,162.0,157.0,88032,1301,22676
경기 평택시을,125297,100120,31407.0,36796.0,27389.0,2352.0,222.0,219.0,224.0,98609,1511,25177
경기 동두천시,52179,41432,15813.0,13745.0,10545.0,394.0,80.0,64.0,106.0,40747,685,10747
경기 양주군,68986,55270,19097.0,18021.0,16300.0,412.0,136.0,114.0,199.0,54279,991,13716
경기 안산시갑,184990,148683,47570.0,64104.0,32727.0,1738.0,140.0,212.0,114.0,146605,2078,36307
경기 안산시을,167178,132545,36185.0,58720.0,33547.0,1523.0,172.0,198.0,138.0,130483,2062,34633
경기 과천시,48596,40281,18875.0,15252.0,5011.0,631.0,27.0,74.0,37.0,39907,374,8315
경기 의왕시,75088,62077,22793.0,25085.0,12346.0,896.0,71.0,107.0,55.0,61353,724,13011
경기 군포시,171630,143582,54980.0,59056.0,25556.0,1983.0,143.0,204.0,123.0,142045,1537,28048
경기 시흥시,138271,112936,35284.0,46106.0,28181.0,1121.0,154.0,214.0,158.0,111218,1718,25335
경기 구리시,111015,88751,30956.0,34294.0,21193.0,688.0,113.0,119.0,132.0,87495,1256,22264
경기 남양주시,188185,148419,49081.0,52762.0,42334.0,1102.0,307.0,277.0,331.0,146194,2225,39766
경기 여주군,70436,55399,16079.0,14867.0,22272.0,443.0,199.0,125.0,243.0,54228,1171,15037
경기 오산시,50110,40348,11475.0,14679.0,13068.0,426.0,64.0,93.0,68.0,39873,475,9762
경기 화성군,125610,98179,27271.0,33867.0,33253.0,1175.0,252.0,239.0,313.0,96370,1809,27431
