지역,한나라당 이회창,새정치국민회의 김대중,국민신당 이인제,건설국민승리21 권영길,공화당 허경영,바른정치연합 김한식,통일한국당 신정일
전북 익산시갑,3598.0,80855.0,1717.0,296.0,45.0,223.0,91.0
전북 익산시을,4683.0,95155.0,2680.0,486.0,61.0,240.0,106.0
전북 정읍시,3123.0,83031.0,1534.0,232.0,83.0,433.0,222.0
전북 남원시,3323.0,58354.0,1299.0,130.0,74.0,442.0,157.0
전북 김제시,3649.0,69454.0,1608.0,212.0,71.0,342.0,174.0
전북 완주군,2478.0,47783.0,1322.0,345.0,76.0,347.0,101.0
전북 진안군,1245.0,20310.0,652.0,68.0,28.0,276.0,91.0
전북 무주군,1262.0,16200.0,885.0,48.0,39.0,186.0,125.0
전북 장수군,818.0,16730.0,517.0,54.0,30.0,168.0,63.0
전북 임실군,1145.0,23486.0,691.0,90.0,59.0,331.0,94.0
전북 순창군,947.0,21762.0,405.0,63.0,42.0,242.0,82.0
전북 고창군,1659.0,44659.0,728.0,145.0,72.0,513.0,122.0
전북 부안군,2013.0,44499.0,819.0,125.0,67.0,289.0,134.0
전남 목포시,2782.0,136421.0,1215.0,242.0,45.0,164.0,81.0
전남 여수시,3126.0,100441.0,1397.0,172.0,39.0,149.0,72.0
전남 순천시갑,1769.0,62844.0,755.0,93.0,38.0,160.0,81.0
전남 순천시을,2429.0,82158.0,1208.0,157.0,49.0,203.0,94.0
전남 나주시,1520.0,70855.0,630.0,103.0,56.0,257.0,136.0
전남 여천시,2022.0,40729.0,1019.0,110.0,19.0,75.0,43.0
전남 여천군,952.0,36865.0,402.0,43.0,45.0,176.0,92.0
전남 광양시,6093.0,63980.0,3715.0,260.0,46.0,130.0,86.0
전남 담양군,897.0,37035.0,392.0,62.0,36.0,206.0,71.0
전남 장성군,1234.0,34398.0,734.0,47.0,32.0,160.0,58.0
전남 곡성군,711.0,25459.0,321.0,43.0,37.0,184.0,77.0
전남 구례군,818.0,20580.0,323.0,34.0,20.0,94.0,35.0
전남 고흥군,2189.0,63037.0,732.0,65.0,61.0,326.0,136.0
전남 보성군,1868.0,38167.0,527.0,56.0,39.0,215.0,127.0
전남 화순군,872.0,45731.0,384.0,63.0,35.0,212.0,77.0
전남 장흥군,1004.0,33215.0,383.0,86.0,65.0,199.0,108.0
전남 강진군,1276.0,29656.0,524.0,58.0,27.0,162.0,95.0
전남 완도군,938.0,41818.0,414.0,41.0,33.0,175.0,79.0
전남 해남군,2468.0,57847.0,655.0,99.0,72.0,324.0,180.0
전남 진도군,1080.0,25378.0,321.0,44.0,32.0,194.0,94.0
전남 영암군,1638.0,36455.0,636.0,116.0,33.0,141.0,113.0
전남 무안군,1075.0,43079.0,365.0,63.0,48.0,160.0,65.0
전남 영광군,1161.0,43161.0,630.0,58.0,51.0,348.0,89.0
전남 함평군,676.0,29322.0,319.0,44.0,36.0,161.0,79.0
전남 신안군,936.0,33095.0,304.0,40.0,33.0,215.0,87.0
경북 포항시남구,87567.0,19906.0,27334.0,2390.0,134.0,131.0,430.0
경북 포항시북구,91479.0,16872.0,20378.0,1688.0,166.0,112.0,386.0
경북 울릉군,3609.0,597.0,1896.0,31.0,11.0,4.0,37.0
경북 경주시갑,47216.0,9721.0,18819.0,1827.0,212.0,96.0,546.0
경북 경주시을,50757.0,9998.0,17523.0,2714.0,131.0,67.0,348.0
경북 김천시,55679.0,9385.0,18150.0,780.0,210.0,135.0,709.0
경북 안동시갑,32698.0,7391.0,12439.0,739.0,128.0,111.0,366.0
경북 안동시을,29060.0,7356.0,11904.0,653.0,164.0,127.0,433.0
경북 구미시갑,49479.0,13397.0,20667.0,2136.0,126.0,91.0,172.0
경북 구미시을,48839.0,11347.0,16204.0,1341.0,145.0,97.0,432.0
경북 영주시,44944.0,8434.0,20108.0,813.0,237.0,132.0,572.0
경북 영천시,42016.0,10821.0,13480.0,730.0,135.0,102.0,676.0
경북 상주시,46321.0,9201.0,17946.0,693.0,319.0,175.0,801.0
경북 문경시,32918.0,5774.0,11901.0,404.0,191.0,103.0,491.0
경북 예천군,22028.0,4991.0,9123.0,382.0,178.0,102.0,555.0
경북 경산시,70866.0,14155.0,18287.0,1409.0,145.0,115.0,527.0
경북 청도군,20071.0,4513.0,7232.0,302.0,95.0,65.0,434.0
경북 고령군,14383.0,3502.0,3889.0,206.0,53.0,46.0,237.0
경북 성주군,20013.0,4685.0,5934.0,251.0,94.0,78.0,466.0
경북 군위군,12049.0,3137.0,3991.0,167.0,69.0,44.0,292.0
경북 칠곡군,31984.0,7640.0,10231.0,759.0,105.0,57.0,400.0
경북 의성군,29156.0,7908.0,11313.0,446.0,168.0,106.0,554.0
경북 청송군,11546.0,3831.0,5123.0,259.0,202.0,56.0,273.0
경북 영덕군,18600.0,3916.0,7909.0,245.0,72.0,65.0,394.0
경북 영양군,6911.0,2552.0,4193.0,142.0,76.0,38.0,196.0
경북 봉화군,12924.0,3427.0,8818.0,346.0,230.0,97.0,421.0
경북 울진군,20247.0,5946.0,10295.0,529.0,381.0,124.0,575.0
경남 마산시회원구,67783.0,11437.0,31688.0,1967.0,115.0,96.0,185.0
경남 창원시갑,69604.0,16575.0,42952.0,3744.0,153.0,132.0,228.0
경남 창원시을,66247.0,19397.0,35252.0,4823.0,125.0,78.0,119.0
경남 마산시합포구,75966.0,10714.0,28320.0,1700.0,135.0,101.0,372.0
경남 진주시갑,58241.0,7259.0,18809.0,1227.0,115.0,146.0,298.0
