지역,민주자유당 김영삼,민주당 김대중,통일국민당 정주영,신정당 박찬종,대한정의당 이병호,무소속 김옥선 ,무소속 백기완
경남 고성군,36985.0,2348.0,1596.0,1495.0,82.0,127.0,494.0
경남 삼천포시,28566.0,2452.0,1931.0,1614.0,27.0,72.0,365.0
경남 사천군,26582.0,2606.0,1611.0,1390.0,34.0,107.0,402.0
경남 김해시,52473.0,8195.0,5344.0,5058.0,41.0,139.0,564.0
경남 김해군,39634.0,3847.0,3129.0,2559.0,39.0,119.0,395.0
경남 진양군,37117.0,3329.0,2520.0,2138.0,77.0,151.0,688.0
경남 의령군,21153.0,1719.0,1388.0,1032.0,64.0,134.0,296.0
경남 함안군,33915.0,3064.0,2380.0,1890.0,54.0,138.0,510.0
경남 창녕군,39893.0,3355.0,3233.0,2136.0,67.0,132.0,516.0
경남 밀양시,19626.0,1870.0,2380.0,1473.0,16.0,78.0,299.0
경남 밀양군,37851.0,3889.0,4169.0,2629.0,71.0,195.0,539.0
경남 양산군,68781.0,9602.0,9496.0,6454.0,85.0,272.0,986.0
경남 울산군,50678.0,8146.0,14181.0,5766.0,135.0,257.0,792.0
경남 장승포시,19311.0,4692.0,842.0,1463.0,5.0,53.0,506.0
경남 거제군,48626.0,2559.0,1052.0,1077.0,17.0,72.0,350.0
경남 하동군,31025.0,3928.0,2438.0,1491.0,73.0,168.0,427.0
경남 남해군,32664.0,2586.0,4431.0,2204.0,75.0,164.0,414.0
경남 함양군,23487.0,2624.0,3615.0,1391.0,75.0,177.0,480.0
경남 산청군,23636.0,2425.0,2102.0,1138.0,58.0,135.0,383.0
경남 거창군,32788.0,3595.0,4900.0,1847.0,78.0,219.0,541.0
경남 합천군,31596.0,2782.0,6567.0,2361.0,127.0,189.0,573.0
제주 제주시,45617.0,39122.0,19696.0,12392.0,162.0,396.0,1621.0
제주 북제주군,23957.0,15726.0,7803.0,4650.0,173.0,382.0,847.0
제주 서귀포시,16042.0,16955.0,7228.0,3051.0,105.0,233.0,535.0
제주 남제주군,18676.0,14086.0,7403.0,2984.0,123.0,275.0,644.0
